textBox46,textBox15,textBox18,textBox62,textBox17,textBox19,textBox12,textBox13,textBox40,textBox20,textBox8,textBox21,textBox7,textBox1,textBox9,textBox23,textBox10,textBox24,textBox11,textBox41,textBox49,textBox50,textBox63,textBox64,textBox68,textBox69,textBox78,textBox74,textBox73,textBox79,textBox83,textBox84,textBox154,textBox155,textBox159,textBox160,textBox164,textBox165,textBox169,textBox170,textBox174,textBox175,textBox179,textBox180,textBox184,textBox185,textBox189,textBox190,textBox194,textBox195,textBox25,textBox26,textBox27,textBox28,textBox29,textBox42,textBox51,textBox65,textBox70,textBox75,textBox80,textBox134,textBox156,textBox161,textBox166,textBox171,textBox176,textBox181,textBox186,textBox191,textBox196,textBox14,textBox30,textBox31,textBox32,textBox33,textBox34,textBox47,textBox56,textBox66,textBox71,textBox76,textBox81,textBox135,textBox157,textBox162,textBox167,textBox172,textBox177,textBox182,textBox187,textBox192,textBox197,textBox16,textBox35,textBox36,textBox37,textBox38,textBox39,textBox48,textBox57,textBox67,textBox72,textBox77,textBox82,textBox153,textBox158,textBox163,textBox168,textBox173,textBox178,textBox183,textBox188,textBox193,textBox198
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,Claw Machines,Site Name,BankofPinball,Game Profiles,Claw Machines,Game Name,Dream Funs Crane,ID,1003,Credit Play Count,177,Courtesy Play Count,0,Bonus Play Count,0,Time Play Count,0,Card Game Count,2,Total Plays,179,Credits,"1,062.00",Courtesy,0.00,Bonus,0.00,Time,0.00,Card Game,12.00,Total Amt.,"1,074.00",Tickets,0,GST,0.00,SN#,,Avg. Price,6.00,PO%,0.00,,Claw Machines Total,,,"1,541",0,0,0,46,"1,587","9,246.00",0.00,0.00,0.00,48.00,"9,294.00",0,0.00,,5.86,0.00,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,Claw Machines,Site Name,BankofPinball,Game Profiles,Claw Machines,Game Name,Mini CATcher 2,ID,1010,Credit Play Count,77,Courtesy Play Count,0,Bonus Play Count,0,Time Play Count,0,Card Game Count,0,Total Plays,77,Credits,462.00,Courtesy,0.00,Bonus,0.00,Time,0.00,Card Game,0.00,Total Amt.,462.00,Tickets,0,GST,0.00,SN#,,Avg. Price,6.00,PO%,0.00,,Claw Machines Total,,,"1,541",0,0,0,46,"1,587","9,246.00",0.00,0.00,0.00,48.00,"9,294.00",0,0.00,,5.86,0.00,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,Claw Machines,Site Name,BankofPinball,Game Profiles,Claw Machines,Game Name,SuperBox 2 Green,ID,0908,Credit Play Count,67,Courtesy Play Count,0,Bonus Play Count,0,Time Play Count,0,Card Game Count,6,Total Plays,73,Credits,402.00,Courtesy,0.00,Bonus,0.00,Time,0.00,Card Game,36.00,Total Amt.,438.00,Tickets,0,GST,0.00,SN#,,Avg. Price,6.00,PO%,0.00,,Claw Machines Total,,,"1,541",0,0,0,46,"1,587","9,246.00",0.00,0.00,0.00,48.00,"9,294.00",0,0.00,,5.86,0.00,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,Claw Machines,Site Name,BankofPinball,Game Profiles,Claw Machines,Game Name,SuperBox 2 Red,ID,0909,Credit Play Count,41,Courtesy Play Count,0,Bonus Play Count,0,Time Play Count,0,Card Game Count,0,Total Plays,41,Credits,246.00,Courtesy,0.00,Bonus,0.00,Time,0.00,Card Game,0.00,Total Amt.,246.00,Tickets,0,GST,0.00,SN#,,Avg. Price,6.00,PO%,0.00,,Claw Machines Total,,,"1,541",0,0,0,46,"1,587","9,246.00",0.00,0.00,0.00,48.00,"9,294.00",0,0.00,,5.86,0.00,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,Claw Machines,Site Name,BankofPinball,Game Profiles,Claw Machines,Game Name,Toys World Blue 1,ID,0905,Credit Play Count,412,Courtesy Play Count,0,Bonus Play Count,0,Time Play Count,0,Card Game Count,12,Total Plays,424,Credits,"2,472.00",Courtesy,0.00,Bonus,0.00,Time,0.00,Card Game,0.00,Total Amt.,"2,472.00",Tickets,0,GST,0.00,SN#,,Avg. Price,5.83,PO%,0.00,,Claw Machines Total,,,"1,541",0,0,0,46,"1,587","9,246.00",0.00,0.00,0.00,48.00,"9,294.00",0,0.00,,5.86,0.00,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,Claw Machines,Site Name,BankofPinball,Game Profiles,Claw Machines,Game Name,Toys World Blue 2,ID,1005,Credit Play Count,284,Courtesy Play Count,0,Bonus Play Count,0,Time Play Count,0,Card Game Count,0,Total Plays,284,Credits,"1,704.00",Courtesy,0.00,Bonus,0.00,Time,0.00,Card Game,0.00,Total Amt.,"1,704.00",Tickets,0,GST,0.00,SN#,,Avg. Price,6.00,PO%,0.00,,Claw Machines Total,,,"1,541",0,0,0,46,"1,587","9,246.00",0.00,0.00,0.00,48.00,"9,294.00",0,0.00,,5.86,0.00,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,Claw Machines,Site Name,BankofPinball,Game Profiles,Claw Machines,Game Name,Toys World Pink 1,ID,0906,Credit Play Count,262,Courtesy Play Count,0,Bonus Play Count,0,Time Play Count,0,Card Game Count,26,Total Plays,288,Credits,"1,572.00",Courtesy,0.00,Bonus,0.00,Time,0.00,Card Game,0.00,Total Amt.,"1,572.00",Tickets,0,GST,0.00,SN#,,Avg. Price,5.46,PO%,0.00,,Claw Machines Total,,,"1,541",0,0,0,46,"1,587","9,246.00",0.00,0.00,0.00,48.00,"9,294.00",0,0.00,,5.86,0.00,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,Claw Machines,Site Name,BankofPinball,Game Profiles,Claw Machines,Game Name,Toys World Pink 2,ID,1006,Credit Play Count,221,Courtesy Play Count,0,Bonus Play Count,0,Time Play Count,0,Card Game Count,0,Total Plays,221,Credits,"1,326.00",Courtesy,0.00,Bonus,0.00,Time,0.00,Card Game,0.00,Total Amt.,"1,326.00",Tickets,0,GST,0.00,SN#,,Avg. Price,6.00,PO%,0.00,,Claw Machines Total,,,"1,541",0,0,0,46,"1,587","9,246.00",0.00,0.00,0.00,48.00,"9,294.00",0,0.00,,5.86,0.00,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,Claw Machines,Site Name,BankofPinball,Game Profiles,Claw Machines,Game Name,Toys World Yellow 2,ID,0903,Credit Play Count,,Courtesy Play Count,,Bonus Play Count,,Time Play Count,,Card Game Count,,Total Plays,,Credits,,Courtesy,,Bonus,,Time,,Card Game,,Total Amt.,,Tickets,,GST,,SN#,,Avg. Price,,PO%,,,Claw Machines Total,,,"1,541",0,0,0,46,"1,587","9,246.00",0.00,0.00,0.00,48.00,"9,294.00",0,0.00,,5.86,0.00,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,Claw Machines,Site Name,BankofPinball,Game Profiles,Claw Machines,Game Name,Toys World Yellow 1,ID,0904,Credit Play Count,,Courtesy Play Count,,Bonus Play Count,,Time Play Count,,Card Game Count,,Total Plays,,Credits,,Courtesy,,Bonus,,Time,,Card Game,,Total Amt.,,Tickets,,GST,,SN#,,Avg. Price,,PO%,,,Claw Machines Total,,,"1,541",0,0,0,46,"1,587","9,246.00",0.00,0.00,0.00,48.00,"9,294.00",0,0.00,,5.86,0.00,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
