txtReportName,txtSelectedSites,txtDateRange,txtOtherParams,headerTextBox0,detailRowTextBox0,headerTextBox1,detailRowTextBox1,headerTextBox2,detailRowTextBox2,headerTextBox3,detailRowTextBox3,headerTextBox4,detailRowTextBox4,headerTextBox5,detailRowTextBox5,headerTextBox6,detailRowTextBox6,headerTextBox7,detailRowTextBox7,headerTextBox8,detailRowTextBox8,headerTextBox9,detailRowTextBox9,headerTextBox10,detailRowTextBox10,headerTextBox11,detailRowTextBox11,headerTextBox12,detailRowTextBox12,headerTextBox13,detailRowTextBox13,headerTextBox14,detailRowTextBox14,headerTextBox15,detailRowTextBox15,headerTextBox16,detailRowTextBox16,headerTextBox17,detailRowTextBox17,headerTextBox18,detailRowTextBox18,headerTextBox19,detailRowTextBox19,headerTextBox20,detailRowTextBox20,headerTextBox21,detailRowTextBox21,headerTextBox22,detailRowTextBox22,headerTextBox23,detailRowTextBox23,headerTextBox24,detailRowTextBox24,detailRowTextBoxGrandTotal0,detailRowTextBoxGrandTotal1,detailRowTextBoxGrandTotal2,detailRowTextBoxGrandTotal3,detailRowTextBoxGrandTotal4,detailRowTextBoxGrandTotal5,detailRowTextBoxGrandTotal6,detailRowTextBoxGrandTotal7,detailRowTextBoxGrandTotal8,detailRowTextBoxGrandTotal9,detailRowTextBoxGrandTotal10,detailRowTextBoxGrandTotal11,detailRowTextBoxGrandTotal12,detailRowTextBoxGrandTotal13,detailRowTextBoxGrandTotal14,detailRowTextBoxGrandTotal15,detailRowTextBoxGrandTotal16,detailRowTextBoxGrandTotal17,detailRowTextBoxGrandTotal18,detailRowTextBoxGrandTotal19,detailRowTextBoxGrandTotal20,detailRowTextBoxGrandTotal21,detailRowTextBoxGrandTotal22,detailRowTextBoxGrandTotal23,detailRowTextBoxGrandTotal24
Redemption Tickets Details Report,Site: BankofPinball,"Period: From Thursday, 01-Jan-2026 06:00 AM To Saturday, 31-Jan-2026 06:00 AM",,Site name,BankofPinball,Cashier Name,gsuz,POSName,POS1,Redeemed date,11-Jan-2026 3:04 PM,Redemption id,7430,Ticket Eater Receipt Number,,Tickets Loaded Via Ticket Eater,,Redemption Ticket Receipt Number,,Tickets Loaded Via Redemption Receipt,,Redemption Currency Name,,Redemption Currency Value In Tickets,,Redemption Currency Quantity,,Redemption Currency Tickets Loaded,,Manual tickets loaded,,Card Number,,ETickets Redeemed,,Gift code,,Gift Tickets,,Total Tickets Loaded,0,Total Tickets Redeemed,0,Balance Tickets Loaded to Card,247,Ticket Loaded To Card number,1781AE61,Balance Tickets Printed,0,Printed Receipt Number,,GroupIndexer,1,Grand Total,,,,,,0,,0,,0.00,0.00,0,"6,566",,"175,160",,"175,245","181,726","175,245","6,481",,0,,
Redemption Tickets Details Report,Site: BankofPinball,"Period: From Thursday, 01-Jan-2026 06:00 AM To Saturday, 31-Jan-2026 06:00 AM",,Site name,BankofPinball,Cashier Name,gsuz,POSName,POS1,Redeemed date,11-Jan-2026 3:04 PM,Redemption id,7430,Ticket Eater Receipt Number,,Tickets Loaded Via Ticket Eater,,Redemption Ticket Receipt Number,,Tickets Loaded Via Redemption Receipt,,Redemption Currency Name,,Redemption Currency Value In Tickets,,Redemption Currency Quantity,,Redemption Currency Tickets Loaded,,Manual tickets loaded,247,Card Number,,ETickets Redeemed,,Gift code,,Gift Tickets,,Total Tickets Loaded,247,Total Tickets Redeemed,0,Balance Tickets Loaded to Card,0,Ticket Loaded To Card number,,Balance Tickets Printed,0,Printed Receipt Number,,GroupIndexer,1,,,,,,,,,,,,,,,,,,,,,,,,,
Redemption Tickets Details Report,Site: BankofPinball,"Period: From Thursday, 01-Jan-2026 06:00 AM To Saturday, 31-Jan-2026 06:00 AM",,Site name,BankofPinball,Cashier Name,gsuz,POSName,Redemption,Redeemed date,05-Jan-2026 1:16 PM,Redemption id,7403,Ticket Eater Receipt Number,,Tickets Loaded Via Ticket Eater,,Redemption Ticket Receipt Number,,Tickets Loaded Via Redemption Receipt,,Redemption Currency Name,,Redemption Currency Value In Tickets,,Redemption Currency Quantity,,Redemption Currency Tickets Loaded,,Manual tickets loaded,,Card Number,12B96FFA,ETickets Redeemed,2,Gift code,,Gift Tickets,,Total Tickets Loaded,2,Total Tickets Redeemed,0,Balance Tickets Loaded to Card,0,Ticket Loaded To Card number,,Balance Tickets Printed,0,Printed Receipt Number,,GroupIndexer,1,,,,,,,,,,,,,,,,,,,,,,,,,
Redemption Tickets Details Report,Site: BankofPinball,"Period: From Thursday, 01-Jan-2026 06:00 AM To Saturday, 31-Jan-2026 06:00 AM",,Site name,BankofPinball,Cashier Name,gsuz,POSName,Redemption,Redeemed date,05-Jan-2026 1:16 PM,Redemption id,7403,Ticket Eater Receipt Number,,Tickets Loaded Via Ticket Eater,,Redemption Ticket Receipt Number,,Tickets Loaded Via Redemption Receipt,,Redemption Currency Name,,Redemption Currency Value In Tickets,,Redemption Currency Quantity,,Redemption Currency Tickets Loaded,,Manual tickets loaded,,Card Number,CBDA6FE5,ETickets Redeemed,123,Gift code,,Gift Tickets,,Total Tickets Loaded,123,Total Tickets Redeemed,0,Balance Tickets Loaded to Card,0,Ticket Loaded To Card number,,Balance Tickets Printed,0,Printed Receipt Number,,GroupIndexer,1,,,,,,,,,,,,,,,,,,,,,,,,,
Redemption Tickets Details Report,Site: BankofPinball,"Period: From Thursday, 01-Jan-2026 06:00 AM To Saturday, 31-Jan-2026 06:00 AM",,Site name,BankofPinball,Cashier Name,gsuz,POSName,Redemption,Redeemed date,05-Jan-2026 1:16 PM,Redemption id,7403,Ticket Eater Receipt Number,,Tickets Loaded Via Ticket Eater,,Redemption Ticket Receipt Number,,Tickets Loaded Via Redemption Receipt,,Redemption Currency Name,,Redemption Currency Value In Tickets,,Redemption Currency Quantity,,Redemption Currency Tickets Loaded,,Manual tickets loaded,,Card Number,,ETickets Redeemed,,Gift code,097138502179,Gift Tickets,125,Total Tickets Loaded,0,Total Tickets Redeemed,125,Balance Tickets Loaded to Card,0,Ticket Loaded To Card number,,Balance Tickets Printed,0,Printed Receipt Number,,GroupIndexer,1,,,,,,,,,,,,,,,,,,,,,,,,,
Redemption Tickets Details Report,Site: BankofPinball,"Period: From Thursday, 01-Jan-2026 06:00 AM To Saturday, 31-Jan-2026 06:00 AM",,Site name,BankofPinball,Cashier Name,gsuz,POSName,Redemption,Redeemed date,05-Jan-2026 1:28 PM,Redemption id,7404,Ticket Eater Receipt Number,,Tickets Loaded Via Ticket Eater,,Redemption Ticket Receipt Number,,Tickets Loaded Via Redemption Receipt,,Redemption Currency Name,,Redemption Currency Value In Tickets,,Redemption Currency Quantity,,Redemption Currency Tickets Loaded,,Manual tickets loaded,,Card Number,475DA661,ETickets Redeemed,125,Gift code,,Gift Tickets,,Total Tickets Loaded,125,Total Tickets Redeemed,0,Balance Tickets Loaded to Card,0,Ticket Loaded To Card number,,Balance Tickets Printed,0,Printed Receipt Number,,GroupIndexer,1,,,,,,,,,,,,,,,,,,,,,,,,,
Redemption Tickets Details Report,Site: BankofPinball,"Period: From Thursday, 01-Jan-2026 06:00 AM To Saturday, 31-Jan-2026 06:00 AM",,Site name,BankofPinball,Cashier Name,gsuz,POSName,Redemption,Redeemed date,05-Jan-2026 1:28 PM,Redemption id,7404,Ticket Eater Receipt Number,,Tickets Loaded Via Ticket Eater,,Redemption Ticket Receipt Number,,Tickets Loaded Via Redemption Receipt,,Redemption Currency Name,,Redemption Currency Value In Tickets,,Redemption Currency Quantity,,Redemption Currency Tickets Loaded,,Manual tickets loaded,,Card Number,,ETickets Redeemed,,Gift code,097138502179,Gift Tickets,125,Total Tickets Loaded,0,Total Tickets Redeemed,125,Balance Tickets Loaded to Card,0,Ticket Loaded To Card number,,Balance Tickets Printed,0,Printed Receipt Number,,GroupIndexer,1,,,,,,,,,,,,,,,,,,,,,,,,,
Redemption Tickets Details Report,Site: BankofPinball,"Period: From Thursday, 01-Jan-2026 06:00 AM To Saturday, 31-Jan-2026 06:00 AM",,Site name,BankofPinball,Cashier Name,gsuz,POSName,Redemption,Redeemed date,05-Jan-2026 1:29 PM,Redemption id,7405,Ticket Eater Receipt Number,,Tickets Loaded Via Ticket Eater,,Redemption Ticket Receipt Number,,Tickets Loaded Via Redemption Receipt,,Redemption Currency Name,,Redemption Currency Value In Tickets,,Redemption Currency Quantity,,Redemption Currency Tickets Loaded,,Manual tickets loaded,,Card Number,475DA661,ETickets Redeemed,50,Gift code,,Gift Tickets,,Total Tickets Loaded,50,Total Tickets Redeemed,0,Balance Tickets Loaded to Card,0,Ticket Loaded To Card number,,Balance Tickets Printed,0,Printed Receipt Number,,GroupIndexer,1,,,,,,,,,,,,,,,,,,,,,,,,,
Redemption Tickets Details Report,Site: BankofPinball,"Period: From Thursday, 01-Jan-2026 06:00 AM To Saturday, 31-Jan-2026 06:00 AM",,Site name,BankofPinball,Cashier Name,gsuz,POSName,Redemption,Redeemed date,05-Jan-2026 1:29 PM,Redemption id,7405,Ticket Eater Receipt Number,,Tickets Loaded Via Ticket Eater,,Redemption Ticket Receipt Number,,Tickets Loaded Via Redemption Receipt,,Redemption Currency Name,,Redemption Currency Value In Tickets,,Redemption Currency Quantity,,Redemption Currency Tickets Loaded,,Manual tickets loaded,,Card Number,776AC25F,ETickets Redeemed,200,Gift code,,Gift Tickets,,Total Tickets Loaded,200,Total Tickets Redeemed,0,Balance Tickets Loaded to Card,0,Ticket Loaded To Card number,,Balance Tickets Printed,0,Printed Receipt Number,,GroupIndexer,1,,,,,,,,,,,,,,,,,,,,,,,,,
Redemption Tickets Details Report,Site: BankofPinball,"Period: From Thursday, 01-Jan-2026 06:00 AM To Saturday, 31-Jan-2026 06:00 AM",,Site name,BankofPinball,Cashier Name,gsuz,POSName,Redemption,Redeemed date,05-Jan-2026 1:29 PM,Redemption id,7405,Ticket Eater Receipt Number,,Tickets Loaded Via Ticket Eater,,Redemption Ticket Receipt Number,,Tickets Loaded Via Redemption Receipt,,Redemption Currency Name,,Redemption Currency Value In Tickets,,Redemption Currency Quantity,,Redemption Currency Tickets Loaded,,Manual tickets loaded,,Card Number,,ETickets Redeemed,,Gift code,326698,Gift Tickets,250,Total Tickets Loaded,0,Total Tickets Redeemed,250,Balance Tickets Loaded to Card,0,Ticket Loaded To Card number,,Balance Tickets Printed,0,Printed Receipt Number,,GroupIndexer,1,,,,,,,,,,,,,,,,,,,,,,,,,
